| name              | title                        | level | facing   | categories      | description                                                                                                                           | detail                                                                                                                                                                                                                                                                                                                                                                                                                                                                | remediation                                                                           | metadata                                                       | cache_key                                                                                |
| ----------------- | ---------------------------- | ----- | -------- | --------------- | ------------------------------------------------------------------------------------------------------------------------------------- | --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ------------------------------------------------------------------------------------- | -------------------------------------------------------------- | ---------------------------------------------------------------------------------------- |
| auth_rls_initplan | Auth RLS Initialization Plan | WARN  | EXTERNAL | ["PERFORMANCE"] | Detects if calls to \`current_setting()\` and \`auth.<function>()\` in RLS policies are being unnecessarily re-evaluated for each row | Table \`public.forums\` has a row level security policy \`Forums are viewable by authenticated users\` that re-evaluates current_setting() or auth.<function>() for each row. This produces suboptimal query performance at scale. Resolve the issue by replacing \`auth.<function>()\` with \`(select auth.<function>())\`. See [docs](https://supabase.com/docs/guides/database/postgres/row-level-security#call-functions-with-select) for more info.              | https://supabase.com/docs/guides/database/database-linter?lint=0003_auth_rls_initplan | {"name":"forums","type":"table","schema":"public"}             | auth_rls_init_plan_public_forums_Forums are viewable by authenticated users              |
| auth_rls_initplan | Auth RLS Initialization Plan | WARN  | EXTERNAL | ["PERFORMANCE"] | Detects if calls to \`current_setting()\` and \`auth.<function>()\` in RLS policies are being unnecessarily re-evaluated for each row | Table \`public.forum_posts\` has a row level security policy \`Posts are viewable by authenticated users\` that re-evaluates current_setting() or auth.<function>() for each row. This produces suboptimal query performance at scale. Resolve the issue by replacing \`auth.<function>()\` with \`(select auth.<function>())\`. See [docs](https://supabase.com/docs/guides/database/postgres/row-level-security#call-functions-with-select) for more info.          | https://supabase.com/docs/guides/database/database-linter?lint=0003_auth_rls_initplan | {"name":"forum_posts","type":"table","schema":"public"}        | auth_rls_init_plan_public_forum_posts_Posts are viewable by authenticated users          |
| auth_rls_initplan | Auth RLS Initialization Plan | WARN  | EXTERNAL | ["PERFORMANCE"] | Detects if calls to \`current_setting()\` and \`auth.<function>()\` in RLS policies are being unnecessarily re-evaluated for each row | Table \`public.forum_posts\` has a row level security policy \`Authenticated users can create posts\` that re-evaluates current_setting() or auth.<function>() for each row. This produces suboptimal query performance at scale. Resolve the issue by replacing \`auth.<function>()\` with \`(select auth.<function>())\`. See [docs](https://supabase.com/docs/guides/database/postgres/row-level-security#call-functions-with-select) for more info.               | https://supabase.com/docs/guides/database/database-linter?lint=0003_auth_rls_initplan | {"name":"forum_posts","type":"table","schema":"public"}        | auth_rls_init_plan_public_forum_posts_Authenticated users can create posts               |
| auth_rls_initplan | Auth RLS Initialization Plan | WARN  | EXTERNAL | ["PERFORMANCE"] | Detects if calls to \`current_setting()\` and \`auth.<function>()\` in RLS policies are being unnecessarily re-evaluated for each row | Table \`public.forum_replies\` has a row level security policy \`Replies are viewable by authenticated users\` that re-evaluates current_setting() or auth.<function>() for each row. This produces suboptimal query performance at scale. Resolve the issue by replacing \`auth.<function>()\` with \`(select auth.<function>())\`. See [docs](https://supabase.com/docs/guides/database/postgres/row-level-security#call-functions-with-select) for more info.      | https://supabase.com/docs/guides/database/database-linter?lint=0003_auth_rls_initplan | {"name":"forum_replies","type":"table","schema":"public"}      | auth_rls_init_plan_public_forum_replies_Replies are viewable by authenticated users      |
| auth_rls_initplan | Auth RLS Initialization Plan | WARN  | EXTERNAL | ["PERFORMANCE"] | Detects if calls to \`current_setting()\` and \`auth.<function>()\` in RLS policies are being unnecessarily re-evaluated for each row | Table \`public.forum_replies\` has a row level security policy \`Authenticated users can create replies\` that re-evaluates current_setting() or auth.<function>() for each row. This produces suboptimal query performance at scale. Resolve the issue by replacing \`auth.<function>()\` with \`(select auth.<function>())\`. See [docs](https://supabase.com/docs/guides/database/postgres/row-level-security#call-functions-with-select) for more info.           | https://supabase.com/docs/guides/database/database-linter?lint=0003_auth_rls_initplan | {"name":"forum_replies","type":"table","schema":"public"}      | auth_rls_init_plan_public_forum_replies_Authenticated users can create replies           |
| auth_rls_initplan | Auth RLS Initialization Plan | WARN  | EXTERNAL | ["PERFORMANCE"] | Detects if calls to \`current_setting()\` and \`auth.<function>()\` in RLS policies are being unnecessarily re-evaluated for each row | Table \`public.peer_checkins\` has a row level security policy \`Users can view their own check-ins\` that re-evaluates current_setting() or auth.<function>() for each row. This produces suboptimal query performance at scale. Resolve the issue by replacing \`auth.<function>()\` with \`(select auth.<function>())\`. See [docs](https://supabase.com/docs/guides/database/postgres/row-level-security#call-functions-with-select) for more info.               | https://supabase.com/docs/guides/database/database-linter?lint=0003_auth_rls_initplan | {"name":"peer_checkins","type":"table","schema":"public"}      | auth_rls_init_plan_public_peer_checkins_Users can view their own check-ins               |
| auth_rls_initplan | Auth RLS Initialization Plan | WARN  | EXTERNAL | ["PERFORMANCE"] | Detects if calls to \`current_setting()\` and \`auth.<function>()\` in RLS policies are being unnecessarily re-evaluated for each row | Table \`public.peer_checkins\` has a row level security policy \`Users can create check-ins\` that re-evaluates current_setting() or auth.<function>() for each row. This produces suboptimal query performance at scale. Resolve the issue by replacing \`auth.<function>()\` with \`(select auth.<function>())\`. See [docs](https://supabase.com/docs/guides/database/postgres/row-level-security#call-functions-with-select) for more info.                       | https://supabase.com/docs/guides/database/database-linter?lint=0003_auth_rls_initplan | {"name":"peer_checkins","type":"table","schema":"public"}      | auth_rls_init_plan_public_peer_checkins_Users can create check-ins                       |
| auth_rls_initplan | Auth RLS Initialization Plan | WARN  | EXTERNAL | ["PERFORMANCE"] | Detects if calls to \`current_setting()\` and \`auth.<function>()\` in RLS policies are being unnecessarily re-evaluated for each row | Table \`public.content_moderation\` has a row level security policy \`Moderators can view all moderation requests\` that re-evaluates current_setting() or auth.<function>() for each row. This produces suboptimal query performance at scale. Resolve the issue by replacing \`auth.<function>()\` with \`(select auth.<function>())\`. See [docs](https://supabase.com/docs/guides/database/postgres/row-level-security#call-functions-with-select) for more info. | https://supabase.com/docs/guides/database/database-linter?lint=0003_auth_rls_initplan | {"name":"content_moderation","type":"table","schema":"public"} | auth_rls_init_plan_public_content_moderation_Moderators can view all moderation requests |
| auth_rls_initplan | Auth RLS Initialization Plan | WARN  | EXTERNAL | ["PERFORMANCE"] | Detects if calls to \`current_setting()\` and \`auth.<function>()\` in RLS policies are being unnecessarily re-evaluated for each row | Table \`public.content_moderation\` has a row level security policy \`Users can report content\` that re-evaluates current_setting() or auth.<function>() for each row. This produces suboptimal query performance at scale. Resolve the issue by replacing \`auth.<function>()\` with \`(select auth.<function>())\`. See [docs](https://supabase.com/docs/guides/database/postgres/row-level-security#call-functions-with-select) for more info.                    | https://supabase.com/docs/guides/database/database-linter?lint=0003_auth_rls_initplan | {"name":"content_moderation","type":"table","schema":"public"} | auth_rls_init_plan_public_content_moderation_Users can report content                    |
